bioguide id,name,state,role,education
W000816,Roger Williams,Texas,Representative,"B.A., Texas Christian University, Fort Worth, Tex., 1972; professional athlete, 1971-1973"
G000603,Brandon Gill,Texas,Representative,"B.A., Dartmouth College, Hanover, N.H., 2016"
C001115,Michael Cloud,Texas,Representative,"B.S., Oral Roberts University, Tulsa, Okla., 1997"
C001063,Henry Cuellar,Texas,Representative,"A.A., Laredo Community College, Laredo, Tex., 1976; B.S., Georgetown University, Washington, D.C., 1978; J.D., University of Texas, Austin, Tex., 1981; M.A., Texas A&M International University, Laredo, Tex., 1982; Ph.D., University of Texas, Austin, Tex., 1998"
G000587,Sylvia R. Garcia,Texas,Representative,"B.S., Texas Women's University, Denton, Tex., 1972; J.D., Texas Southern University, Houston, Tex., 1978"
C001130,Jasmine Crockett,Texas,Representative,"graduated from the Mary Institute and Saint Louis Country Day School, St. Louis, Mo., 1999; B.A., Rhodes College, Memphis, Tenn., 2003; attended Thurgood Marshall School of Law, Texas Southern University, Houston, Tex.; J.D., University of Houston Law Center, Houston, Tex., 2006"
C001051,John R. Carter,Texas,Representative,"B.A., Texas Tech University, Lubbock, Tex., 1964; J.D., University of Texas Law School, Austin, Tex., 1969"
J000310,Julie Johnson,Texas,Representative,"B.A., University of Texas at Austin, Austin, Tex., 1987; J.D., University of Houston, Houston Tex., 1991"
V000131,Marc A. Veasey,Texas,Representative,"B.S., Texas Wesleyan University, Fort Worth, Tex., 1995"
G000581,Vicente Gonzalez,Texas,Representative,"B.A., Embry-Riddle Aeronautical University, Naval Air Station, Corpus Christi, Tex., 1992; J.D., Texas Wesleyan School of Law, Fort Worth, Tex., 1996"
C001131,Greg Casar,Texas,Representative,"graduated from Strake Jesuit College Preparatory, Houston, Tex., 2007; B.A., University of Virginia, Charlottesville, Va., 2011"
B001291,Brian Babin,Texas,Representative,"B.S., Lamar University, Beaumont, Tex., 1973; D.D.S., University of Texas, Houston, Tex., 1976; United States Air Force, 1975-1979; Texas Army National Guard, 1969-1975"
D000399,Lloyd Doggett,Texas,Representative,"B.A., University of Texas, Austin, Tex., 1967; J.D., University of Texas School of Law, Austin, Tex., 1970; member of the Texas state senate, 1973-1985; justice of the Texas state supreme court, 1989-1994; adjunct professor, University of Texas School of Law, Austin, Tex., 1989-1994"
H001095,Wesley Hunt,Texas,Representative,"graduated from St. John's School, Houston, Tex., 2000; B.S. United States Military Academy, West Point, N.Y., 2004; M.P.A., Cornell University, Ithaca, N.Y., 2015; M.B.A., Cornell University, Ithaca, N.Y., 2015; M.I.L.R., Cornell University, Ithaca, N.Y., 2016; United States Army, 2004-2012"
C001114,John R. Curtis,Utah,Senator,"attended University of Utah, Salt Lake City, Utah, 1979; B.S., Brigham Young University, Provo, Utah, 1985"
L000577,Mike Lee,Utah,Senator,"graduated Brigham Young University, B.A., 1994; graduated Brigham Young University, J.D., 1997; law clerk to 3rd Circuit Court of Appeals Justice Samuel Alito 1998"
M001213,Blake D. Moore,Utah,Representative,"attended Utah State University, Logan, Utah; B.A., University of Utah, Salt Lake City, Utah; M.P.P.A., Northwestern University, Evanston, Ill., 2018"
M001228,Celeste Maloy,Utah,Representative,"B.S., Southern Utah University, Cedar City, Utah, 2003; J.D., Brigham Young University, J. Reuben Clark Law School, Provo, Utah, 2015; soil conservationist, United States Department of Agriculture, 2001-2012; deputy attorney, Washington County, Utah, 2015-2018; attorney, Utah Association of Counties, 2016-2018; attorney, Washington County Water Conservancy District, Utah, 2018-2019; staff, United States Representative Chris Stewart of Utah, 2019-2023"
K000403,Mike Kennedy,Utah,Representative,"B.S., Brigham Young University, Provo, Utah, 1994; M.D., Michigan State University, East Lansing, Mich., 1998; J.D., Brigham Young University, Provo, Utah, 2007"
O000086,Burgess Owens,Utah,Representative,"B.S., University of Miami, Coral Gables, Fla., 1975"
W000805,Mark R. Warner,Virginia,Senator,"B.A., George Washington University, 1977; J.D., Harvard Law School, 1980"
K000384,Tim Kaine,Virginia,Senator,"graduated University of Missouri, B.A., 1979; graduated Harvard University, J.D., 1983"
W000804,Robert J. Wittman,Virginia,Representative,"M.P.H., University of North Carolina, Chapel Hill, N.C., 1990; Ph.D., Virginia Commonwealth University, Richmond, Va., 2002"
K000399,Jennifer A. Kiggans,Virginia,Representative,"B.A. Boston University, Boston, Mass., 1993; B.S., Old Dominion University, Norfolk, Va., 2011; M.S. Vanderbilt University, Nashville, Tenn., 2012; United States Navy, 1993-2003"
S000185,"Robert C. ""Bobby"" Scott",Virginia,Representative,"graduated from Groton School, Groton, Mass., 1965; A.B., Harvard University, Cambridge, Mass., 1969; J.D., Boston College School of Law, Boston, Mass., 1973"
M001227,Jennifer L. McClellan,Virginia,Representative,"B.A., University of Richmond, Richmond, Va., 1994; J.D., University of Virginia, Charlottesville, Va., 1997"
M001239,John J. McGuire III,Virginia,Representative,"attended Okaloosa Walton Community College, Niceville, Fla.; United States Navy, 1988-1998"
C001118,Ben Cline,Virginia,Representative,"B.A., Bates College, Lewiston, Me., 1994; J.D., University of Richmond Law School, Richmond, Va., 2007; staff, United States Representative Bob Goodlatte of Virginia, 1994-2002; marketing consultant, 2002-2007; assistant commonwealth's attorney, Rockingham County, Va., 2007-2013; member of the Virginia state house of delegates, 2002-2018"
V000138,Eugene Simon Vindman,Virginia,Representative,"B.A., Binghamton University, Binghamton, N.Y., 1997; M.A., Central Michigan University, Mt. Pleasant, Mich., 2005; J.D., University of Georgia, Atlanta, Ga., 2009"
B001292,"Donald S. Beyer, Jr.",Virginia,Representative,"B.A., Williams College, Williamstown, Mass., 1972"
G000568,H. Morgan Griffith,Virginia,Representative,"B.A., Emory & Henry College, Emory, Va., 1980; J.D., Washington & Lee University School of Law, Lexington, Va., 1983; lawyer, private practice, 1983-2011; member of Virginia state house of delegates, 1994-2011, majority leader, 2000-2011"
S001230,Suhas Subramanyam,Virginia,Representative,"B.A., Tulane University, New Orleans, La., 2008; J.D., Northwestern University, Chicago, Ill., 2013; staff, United States Representative Suzanne Kosmas of Florida, 2009-2010; staff, Senate Judiciary Committee, 2011; staff, White House Office of the Chief Technology Officer, 2015-2017"
W000831,James R. Walkinshaw,Virginia,Representative,"B.A., New York University, New York, N.Y., 2005"
P000610,Stacey E. Plaskett,US Virgin Islands (US Territory),Representative,"graduated from Choate Rosemary Hall, Wallingford, Conn., 1984; B.S.F.S., Georgetown University, Washington, D.C., 1988; J.D., American University, Washington, D.C., 1994"
S000033,Bernard Sanders,Vermont,Senator,"B.S., University of Chicago, Chicago, Ill., 1964; faculty, Harvard University, Cambridge, Mass., 1989; faculty, Hamilton College, Clinton, N.Y., 1990"
W000800,Peter Welch,Vermont,Senator,"A.B., College of the Holy Cross, Worcester, Mass.; 1969; J.D., University of California, Berkeley, Calif., 1973"
B001318,Becca Balint,Vermont,Representative,"attended Barnard College, New York, N.Y.; A.B., Smith College, Northampton, Mass., 1990; Ed.M., Harvard University, Cambridge, Mass., 1994; M.A., University of Massachusetts, Amherst, Mass., 2000"
C000127,Maria Cantwell,Washington,Senator,"attended public schools in Indianapolis; B.A., Miami University of Ohio 1980; pursued an academic course at the Miami University European Center, Luxembourg"
M001111,Patty Murray,Washington,Senator,"graduated, Washington State University 1972; education volunteer 1977-1984; instructor, Shoreline Community College, Shoreline, Wash., 1984-1987; citizen lobbyist for environmental and educational issues 1983-1988"
D000617,Suzan K. DelBene,Washington,Representative,"graduated from The Choate School, Wallingford, Conn., 1979; B.A., Reed College, Portland, Oreg., 1983; M.B.A., University of Washington, Seattle, Wash., 1990"
L000560,Rick Larsen,Washington,Representative,"B.A., Pacific Lutheran University, Tacoma, Wash., 1987; M.P.A., University of Minnesota, Minneapolis, Minn., 1990; member of the Snohomish, Wash., county council, 1998-2000"
G000600,Marie Gluesenkamp Perez,Washington,Representative,"B.A., Reed College, Portland, Oreg., 2012"
N000189,Dan Newhouse,Washington,Representative,"B.S., Washington State University, Pullman, Wash., 1977"
B001322,Michael Baumgartner,Washington,Representative,"B.A., Washington State University, Pullman, Wash., 1999; M.P.A., Harvard University, Cambridge, Mass., 2002"
R000621,Emily Randall,Washington,Representative,"B.A., Wellesley College, Wellesley, Mass., 2008; staff, Wellesley College, Wellesley, Mass., 2010-2015"
J000298,Pramila Jayapal,Washington,Representative,"A.B., Georgetown University, Washington, D.C., 1986; M.B.A., Northwestern University, Evanston, Ill., 1990"
S001216,Kim Schrier,Washington,Representative,"B.A., University of California, Berkeley, Calif., 1991; M.D., University of California, Davis, Calif., 1997; pediatric residency, Lucile Packard Children's Hospital at Stanford University, Palo Alto, Calif., 2000"
S000510,Adam Smith,Washington,Representative,"B.A., Fordham University, New York, N.Y., 1987; J.D., University of Washington, Seattle, Wash., 1990"
S001159,Marilyn Strickland,Washington,Representative,"B.A., University of Washington, Seattle, Wash., 1984; M.B.A., Clark Atlanta University, Atlanta, Ga., 1992"
J000293,Ron Johnson,Wisconsin,Senator,"graduated University of Minnesota, B.S., 1977; studied business administration, University of Minnesota, 1977-1979"
B001230,Tammy Baldwin,Wisconsin,Senator,"A.B., Smith College, Northampton, Mass., 1984; J.D., University of Wisconsin Law School, Madison, Wis., 1989"
S001213,Bryan Steil,Wisconsin,Representative,"B.S. Georgetown University, Washington, D.C., 2003; J.D., University of Wisconsin, Madison, Wis., 2007; staff, United States Representative Paul D. Ryan of Wisconsin, 2003-2004"
P000607,Mark Pocan,Wisconsin,Representative,"B.A., University of Wisconsin, Madison, Wis., 1986"
V000135,Derrick Van Orden,Wisconsin,Representative,"B.S., Excelsior University, Albany, NY; United States Navy, 1988-2014"
M001160,Gwen Moore,Wisconsin,Representative,"B.A., Marquette University, Milwaukee, Wis., 1978"
F000471,Scott Fitzgerald,Wisconsin,Representative,"B.S., University of Wisconsin, Oshkosh, Wis., 1985; United States Army Reserve, 1981-2009"
G000576,Glenn Grothman,Wisconsin,Representative,"B.B.A., University of Wisconsin, Madison, Wis., 1978; J.D., University of Wisconsin, Madison, Wis., 1983"
T000165,Thomas P. Tiffany,Wisconsin,Representative,"B.S., University of Wisconsin, River Falls, Wis., 1980"
W000829,Tony Wied,Wisconsin,Representative,"graduated from Notre Dame Academy, Green Bay, Wisc.; graduated from St. Norbert College, De Pere, Wisc., 1998"
J000312,James C. Justice,West Virginia,Senator,"B.A., Marshall University, Huntington, W.Va., 1974; M.B.A., Marshall University, Huntington, W.Va., 1976"
C001047,Shelley Moore Capito,West Virginia,Senator,"B.S., Duke University, Durham, N.C., 1975; M.Ed., University of Virginia, Charlottesville, Va., 1976; college counselor; member, West Virginia state house of representatives, 1997-2001"
M001205,Carol D. Miller,West Virginia,Representative,"B.S., Columbia College, Columbia, S.C., 1972; member of the West Virginia house of delegates, 2007-2019"
M001235,Riley M. Moore,West Virginia,Representative,"attended C.S. Monroe Technology Center, Leesburg, Va.; B.A., George Mason University, Fairfax, Va., 2005; M.A., National Defense University, Washington, DC, 2011"
L000571,Cynthia M. Lummis,Wyoming,Senator,"B.S., University of Wyoming, Laramie, Wyo., 1976; B.A., University of Wyoming, 1978; J.D., University of Wyoming College of Law, Laramie, Wyo., 1985"
B001261,John Barrasso,Wyoming,Senator,"graduated Georgetown University, Washington, D.C., B.S. 1974; graduated Georgetown University School of Medicine, M.D. 1978"
H001096,Harriet M. Hageman,Wyoming,Representative,"attended Casper College, Casper, Wyo., 1981-1983; B.S., University of Wyoming, Laramie, Wyo., 1986; J.D., University of Wyoming, Laramie, Wyo., 1989"
