bioguide id,name,state,role,education
M000317,Nicole Malliotakis,New York,Representative,"B.A., Seton Hall University, South Orange, N.J., 2001; M.B.A., Wagner University, Staten Island, N.Y., 2010; staff, New York Governor George Pataki, 2004-2006"
N000002,Jerrold Nadler,New York,Representative,"B.A., Columbia University, New York, N.Y., 1969; J.D., Fordham University, New York, N.Y., 1978; legislative assistant, New York state assembly, 1972; member of the New York state assembly, 1977-1992"
E000297,Adriano Espaillat,New York,Representative,"B.S., Queens College, New York City, N.Y., 1979; attended New York University, New York City, N.Y; attended Rutgers University, New Brunswick, N.J.; coordinator, New York City Criminal Justice Agency, 1980-1988; director, Washington Heights, N.Y., victim services community office, 1992-1994; director, Project Right Start, 1994-1996; member of the New York state assembly, 1996-2010; member of the New York state senate, 2010-2016"
O000172,Alexandria Ocasio-Cortez,New York,Representative,"B.A., Boston University, Boston, Mass., 2011"
T000486,Ritchie Torres,New York,Representative,"attended New York University, New York City, N.Y., 2006-2007"
L000606,George Latimer,New York,Representative,"B.A., Fordham University, New York, N.Y., 1974; M.P.A., New York University, New York, N.Y., 1976"
L000599,Michael Lawler,New York,Representative,"B.A., Manhattan College, New York City, N.Y., 2009"
R000579,Patrick Ryan,New York,Representative,"B.S., United States Military Academy, West Point, N.Y., 2004; M.A., Georgetown University, Washington, D.C., 2013; United States Army, 2004-2009"
R000622,Josh Riley,New York,Representative,"B.A., College of William and Mary, Williamsburg, Va., 2003; J.D., Harvard University, Cambridge, Mass., 2007"
T000469,Paul Tonko,New York,Representative,"B.S., Clarkson University, Potsdam, N.Y., 1971"
S001196,Elise M. Stefanik,New York,Representative,"graduated from Albany Academy for Girls, Albany, N.Y., 2002; A.B., Harvard University, Cambridge, Mass., 2006; staff, President George W. Bush administration, 2006-2009"
M001231,John W. Mannion,New York,Representative,"B.A., Binghamton University, Binghamton, N.Y.; M.S., State University of New York at Oswego, Oswego, N.Y."
L000600,Nicholas A. Langworthy,New York,Representative,"graduated from Pine Valley Central School, South Dayton, N.Y., 1999; B.A., Niagara University, Lewiston, N.Y., 2003"
T000478,Claudia Tenney,New York,Representative,"B.A., Colgate University, Hamilton Township, N.Y., 1983; J.D., Cincinnati University, Cincinnati, Ohio, 1987"
M001206,Joseph D. Morelle,New York,Representative,"B.A., SUNY Genesco, Genesco, N.Y., 1986"
K000402,Timothy M. Kennedy,New York,Representative,"graduated from St. Joseph's Collegiate Institute, Buffalo, N.Y., 1994; B.S., D'Youville College (now D'Youville University), Buffalo, N.Y., 1999; M.S., D'Youville College (now D'Youville University), Buffalo, N.Y., 1999"
M001242,Bernie Moreno,Ohio,Senator,"graduated Pinecrest Academy in Florida, 1985; B.A., business, University of Michigan, 1989"
H001104,Jon Husted,Ohio,Senator,"B.A., education, University of Dayton, 1989; M.A., communications, University of Dayton, 1992"
L000601,Greg Landsman,Ohio,Representative,"B.A., Ohio University, Athens, Ohio, 1999; M.A., Harvard University, Cambridge, Mass., 2004"
T000490,David J. Taylor,Ohio,Representative,"B.A., Miami University, Miami, Ohio, 1992, J.D., University of Dayton School of Law, Dayton, Ohio, 1996"
B001281,Joyce Beatty,Ohio,Representative,"B.A., Central State University, Wilberforce, Ohio, 1972; M.S., Wright State University, Fairborn, Ohio, 1974; attended University of Cincinnati, Cincinnati, Ohio"
J000289,Jim Jordan,Ohio,Representative,"B.S., University of Wisconsin, Madison, Wis., 1986; M.A., The Ohio State University, Columbus, Ohio, 1991; J.D., Capital University, Columbus, Ohio, 2001; coach, Ohio State University; member of the Ohio state house of representatives, 1995-2000; member of the Ohio state senate, 2001-2006"
L000566,Robert E. Latta,Ohio,Representative,"B.A., Bowling Green State University, Bowling Green, Ohio, 1978; J.D., University of Toledo, Toledo, Ohio, 1981"
R000619,Michael A. Rulli,Ohio,Representative,"graduated from Emerson College, Boston, Mass., 1991"
M001222,Max L. Miller,Ohio,Representative,"attended University of Arizona, Tucson, Ariz.; B.A., Cleveland State University, Cleveland, Ohio, 2013; United States Marine Corps Reserve, 2013-2019"
D000626,Warren Davidson,Ohio,Representative,"B.A., United States Military Academy, West Point, N.Y., 1995; M.B.A., University of Notre Dame, Notre Dame, Ind."
K000009,Marcy Kaptur,Ohio,Representative,"graduated from St. Ursula Academy, Toledo, Ohio, 1964; B.A., University of Wisconsin, Madison, Wis., 1968; M.A., University of Michigan, Ann Arbor, Mich., 1974; attended the University of Manchester, Manchester, England, 1974; post-graduate studies, Massachusetts Institute of Technology, Cambridge, Mass., 1981; urban planner, Toledo-Lucas County, Ohio, Plan Commissions, 1969-1975; director of planning, National Center for Urban Ethnic Affairs, 1975-1977"
T000463,Michael R. Turner,Ohio,Representative,"B.A., Ohio Northern University, Ada, Ohio, 1982; J.D., Case Western Reserve University, Cleveland, Ohio, 1985; M.B.A., University of Dayton, Dayton, Ohio, 1992; Ph.D., Georgetown University, Washington, D.C., 2022"
B001313,Shontel M. Brown,Ohio,Representative,"A.B., Cuyahoga Community College, Cleveland, Ohio"
B001306,Troy Balderson,Ohio,Representative,"attended Muskingum College, Muskingum, Ohio, 1980-1982; attended Ohio State University, Columbus, Ohio, 1982-1983"
S001223,Emilia Strong Sykes,Ohio,Representative,"B.A., Kent State University, Kent, Ohio, 2007; J.D., University of Florida, Gainesville, Fla., 2011; M.P.H, University of Florida, Gainesville, Fla., 2011"
J000295,David P. Joyce,Ohio,Representative,"B.S., University of Dayton, Dayton, Ohio, 1979; J.D., University of Dayton, Dayton, Ohio, 1982; Cuyahoga County, Ohio, public defender, 1983-1984; Geauga County, Ohio, public defender, 1985-1988; Geauga County, Ohio, prosecutor, 1988-2012"
C001126,Mike Carey,Ohio,Representative,"B.A., Ohio State University, Columbus, Ohio, 1993; United States Army Reserve, 1989-1999; staff, Ohio state senator Merle Grace Kearns, 1991-1993; staff, United States Representative Robert William Ney of Ohio, 1995-1998"
A000383,Alan Armstrong,Oklahoma,Senator,"B.S., civil engineering, University of Oklahoma, 1985"
L000575,James Lankford,Oklahoma,Senator,"B.S., University of Texas, Austin, Tex., 1990; M.Div., Southwestern Theological Baptist Seminary, Ft. Worth, Tex., 1994; youth camp director, 1996-2009"
H001082,Kevin Hern,Oklahoma,Representative,"B.S. Arkansas Tech University, Russellville, Ark., 1986; M.B.A., University of Arkansas, Little Rock, Ark., 1999"
B001317,Josh Brecheen,Oklahoma,Representative,"attended Southeastern Oklahoma State University, Durant, Okla.; B.S., Oklahoma State University, Stillwater, Okla., 2002"
L000491,Frank D. Lucas,Oklahoma,Representative,"B.S., Oklahoma State University, Stillwater, Okla., 1982"
C001053,Tom Cole,Oklahoma,Representative,"B.A., Grinnell College, Grinnell, Iowa, 1971; M.A., Yale University, New Haven, Conn., 1974; Ph.D., University of Oklahoma, Norman, Okla., 1984"
B000740,Stephanie I. Bice,Oklahoma,Representative,"B.A., Oklahoma State University, Stillwater, Okla., 1995"
M001176,Jeff Merkley,Oregon,Senator,"B.A., Stanford University, 1979; M.P.A., Princeton University, 1982"
W000779,Ron Wyden,Oregon,Senator,"attended the public schools of Palo Alto, Calif.; A.B., Stanford University 1971; J.D., University of Oregon Law School in Eugene 1974; director, Oregon Legal Services for the Elderly 1977-1979; public member, Oregon State Board of Examiners of Nursing Home Administrators 1977-1979"
B001278,Suzanne Bonamici,Oregon,Representative,"A.A., Lane Community College, Eugene, Oreg., 1978; B.A., University of Oregon, Eugene, Oreg., 1980; J.D., University of Oregon, Eugene, Oreg., 1983"
B000668,Cliff Bentz,Oregon,Representative,"B.S., Eastern Oregon State College, La Grande, Oreg., 1974; J.D., Lewis and Clark College, Portland, Oreg., 1977"
D000635,Maxine Dexter,Oregon,Representative,"B.A., University of Washington, Seattle, Wash.; M.D., University of Washington, Seattle, Wash., 2001"
